# meant to represent all foreign keys irrespective of whether they're enforced at the database or only at the application level

cancer_study	TYPE_OF_CANCER_ID	type_of_cancer	TYPE_OF_CANCER_ID
clinical_attribute_meta	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
clinical_event_data	CLINICAL_EVENT_ID	clinical_event	CLINICAL_EVENT_ID
clinical_event	PATIENT_ID	patient	INTERNAL_ID
clinical_patient	INTERNAL_ID	patient	INTERNAL_ID
clinical_sample	INTERNAL_ID	sample	INTERNAL_ID
cna_event	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
copy_number_seg	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
copy_number_seg_file	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
copy_number_seg	SAMPLE_ID	sample	INTERNAL_ID
cosmic_mutation	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
drug_interaction	DRUG	drug	DRUG_ID
entity_attribute	ATTR_ID	attribute_metadata	ATTR_ID
entity_attribute	ENTITY_ID	entity	INTERNAL_ID
entity_link	CHILD_ID	entity	INTERNAL_ID
entity_link	PARENT_ID	entity	INTERNAL_ID
gene_alias	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
gene_panel_list	GENE_ID	gene	ENTREZ_GENE_ID
gene_panel_list	INTERNAL_ID	gene_panel	INTERNAL_ID
genetic_alteration	GENETIC_ENTITY_ID	genetic_entity	ID
genetic_alteration	GENETIC_PROFILE_ID	genetic_profile	GENETIC_PROFILE_ID
genetic_profile	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
genetic_profile_samples	GENETIC_PROFILE_ID	genetic_profile	GENETIC_PROFILE_ID
gistic	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
gistic_to_gene	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
gistic_to_gene	GISTIC_ROI_ID	gistic	GISTIC_ROI_ID
mutation_count	GENETIC_PROFILE_ID	genetic_profile	GENETIC_PROFILE_ID
mutation_count	SAMPLE_ID	sample	INTERNAL_ID
mutation	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
mutation_event	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
mutation	GENETIC_PROFILE_ID	genetic_profile	GENETIC_PROFILE_ID
mutation	MUTATION_EVENT_ID	mutation_event	MUTATION_EVENT_ID
mutation	SAMPLE_ID	sample	INTERNAL_ID
mut_sig	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
mut_sig	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
patient	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
pdb_uniprot_residue_mapping	ALIGNMENT_ID	pdb_uniprot_alignment	ALIGNMENT_ID
protein_array_cancer_study	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
protein_array_data	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
protein_array_data	PROTEIN_ARRAY_ID	protein_array_info	PROTEIN_ARRAY_ID
protein_array_data	SAMPLE_ID	sample	INTERNAL_ID
protein_array_target	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
protein_array_target	PROTEIN_ARRAY_ID	protein_array_info	PROTEIN_ARRAY_ID
sample_cna_event	CNA_EVENT_ID	cna_event	CNA_EVENT_ID
sample_cna_event	GENETIC_PROFILE_ID	genetic_profile	GENETIC_PROFILE_ID
sample_cna_event	SAMPLE_ID	sample	INTERNAL_ID
sample_list	CANCER_STUDY_ID	cancer_study	CANCER_STUDY_ID
sample_list_list	SAMPLE_ID	sample	INTERNAL_ID
sample	PATIENT_ID	patient	INTERNAL_ID
sample_profile	GENETIC_PROFILE_ID	genetic_profile	GENETIC_PROFILE_ID

# no actual values for it in the DB:
#sample_profile	PANEL_ID	gene_panel	INTERNAL_ID

sample_profile	SAMPLE_ID	sample	INTERNAL_ID
sample	TYPE_OF_CANCER_ID	type_of_cancer	TYPE_OF_CANCER_ID
sanger_cancer_census	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
structural_variant	GENETIC_PROFILE_ID	genetic_profile	GENETIC_PROFILE_ID
structural_variant	SAMPLE_ID	sample	INTERNAL_ID
structural_variant	SITE1_GENE	gene	HUGO_GENE_SYMBOL
structural_variant	SITE2_GENE	gene	HUGO_GENE_SYMBOL
uniprot_id_mapping	ENTREZ_GENE_ID	gene	ENTREZ_GENE_ID
